Trimestre,PIB
2013Q1,103820.754
2013Q2,102184.663
2013Q3,102183.5615
2013Q4,108194.2418
2014Q1,109552.8049
2014Q2,109449.4296
2014Q3,111306.2703
2014Q4,117017.8214
2015Q1,117970.0621
2015Q2,116185.7811
2015Q3,118687.1864
2015Q4,123179.7917
2016Q1,123926.0427
2016Q2,122825.6131
2016Q3,124455.4426
2016Q4,130794.6058
2017Q1,131607.6648
2017Q2,127547.5675
2017Q3,130149.0686
2017Q4,136896.1053
2018Q1,136281.9035
2018Q2,134313.8799
2018Q3,136155.472
2018Q4,143038.7221
2019Q1,144268.4616
2019Q2,144373.991
2019Q3,147661.2112
2019Q4,154113.1635
